Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
22,Sydney Henderson,30,24.0,1044,34.8,128,365,0.351,51,163,0.313,52,74,0.703,359,12.0,18,103,121,4.0,72,73,117,41,3
32,Jessie Kaufman,30,10.0,648,21.6,94,238,0.395,39,105,0.371,24,30,0.8,251,8.4,36,68,104,3.5,55,18,30,24,17
14,Ashley Christie,29,26.0,786,27.1,79,211,0.374,35,103,0.34,38,60,0.633,231,8.0,17,65,82,2.8,81,59,51,43,2
10,Selina Mann,30,29.0,989,33.0,50,171,0.292,10,55,0.182,72,94,0.766,182,6.1,51,99,150,5.0,79,147,92,119,4
20,Kayla Grossett,30,4.0,405,13.5,56,153,0.366,21,57,0.368,34,52,0.654,167,5.6,24,35,59,2.0,36,22,45,13,0
45,Rachel Mathews,28,22.0,622,22.2,52,130,0.4,0,0,0.0,48,63,0.762,152,5.4,42,76,118,4.2,54,20,47,9,8
34,Sandra Andresson,30,26.0,681,22.7,63,173,0.364,7,24,0.292,22,47,0.468,155,5.2,35,58,93,3.1,39,33,32,13,3
21,Kelly Guerriero,19,0.0,142,7.5,26,64,0.406,22,51,0.431,3,4,0.75,77,4.1,1,9,10,0.5,2,2,8,1,0
33,Tara Lonergan,28,9.0,488,17.4,45,113,0.398,0,1,0.0,21,28,0.75,111,4.0,19,36,55,2.0,70,13,25,16,16
42,Jen Carney,17,0.0,145,8.5,12,29,0.414,7,18,0.389,15,17,0.882,46,2.7,4,10,14,0.8,9,6,9,9,1
13,Mariah Powell,8,0.0,36,4.5,4,13,0.308,0,0,0.0,10,12,0.833,18,2.3,7,4,11,1.4,6,0,5,0,1
03,Melanie Mocniak,4,0.0,15,3.8,0,3,0.0,0,1,0.0,0,0,0.0,0,0.0,0,2,2,0.5,1,0,0,2,0
